id,//tower_name,tower_id,item_ID,tower_grade,L_piece_count,M_piece_count,H_piece_count
290020,어비스 코어,23004,2420038,25404,5,7,9
290020,어비스 코어,23004,2420038,25505,7,9,10
290021,디펜스 드론,23005,2420039,25101,1,2,3
290021,디펜스 드론,23005,2420039,25202,2,3,4
290021,디펜스 드론,23005,2420039,25303,3,5,7
290021,디펜스 드론,23005,2420039,25404,5,7,9
290021,디펜스 드론,23005,2420039,25505,7,9,10
290022,리펄서,23006,2420040,25101,1,2,3
290022,리펄서,23006,2420040,25202,2,3,4
290022,리펄서,23006,2420040,25303,3,5,7
290022,리펄서,23006,2420040,25404,5,7,9
290022,리펄서,23006,2420040,25505,7,9,10
290023,쇼크 웨이브,23007,2420041,25101,1,2,3
290023,쇼크 웨이브,23007,2420041,25202,2,3,4
290023,쇼크 웨이브,23007,2420041,25303,3,5,7
290023,쇼크 웨이브,23007,2420041,25404,5,7,9
290023,쇼크 웨이브,23007,2420041,25505,7,9,10
290024,카오스 비컨,23008,2420042,25101,1,2,3
290024,카오스 비컨,23008,2420042,25202,2,3,4
290024,카오스 비컨,23008,2420042,25303,3,5,7
290024,카오스 비컨,23008,2420042,25404,5,7,9
290024,카오스 비컨,23008,2420042,25505,7,9,10
