reward_id,//reward_name,reward_name_id,G_item_id,item_type,grade,reward_type,amount,tower_random_id,probability,connection_id
171001,금성 조각 3개,6277,1820011,1,4,2,3,,1.75,1003
171001,금성 조각 4개,6277,1820011,1,4,2,4,,1.17,1003
171001,금성 조각 5개,6277,1820011,1,4,2,5,,0.82,1003
171001,수성,6004,1004,1,4,1,1,,0.58,1004
171001,수성 조각 1개,6278,1820012,1,4,2,1,,4.43,1004
171001,수성 조각 2개,6278,1820012,1,4,2,2,,2.92,1004
171001,수성 조각 3개,6278,1820012,1,4,2,3,,1.75,1004
171001,수성 조각 4개,6278,1820012,1,4,2,4,,1.17,1004
171001,수성 조각 5개,6278,1820012,1,4,2,5,,0.82,1004
171001,해왕성,6009,1009,1,4,1,1,,0.58,1009
171001,해왕성 조각 1개,6279,1820013,1,4,2,1,,4.43,1009
171001,해왕성 조각 2개,6279,1820013,1,4,2,2,,2.92,1009
171001,해왕성 조각 3개,6279,1820013,1,4,2,3,,1.75,1009
171001,해왕성 조각 4개,6279,1820013,1,4,2,4,,1.17,1009
171001,해왕성 조각 5개,6279,1820013,1,4,2,5,,0.82,1009
171001,에리스,6013,1013,1,4,1,1,,0.58,1013
171001,에리스 조각 1개,6280,1820014,1,4,2,1,,4.43,1013
171001,에리스 조각 2개,6280,1820014,1,4,2,2,,2.92,1013
171001,에리스 조각 3개,6280,1820014,1,4,2,3,,1.75,1013
171001,에리스 조각 4개,6280,1820014,1,4,2,4,,1.17,1013
171001,에리스 조각 5개,6280,1820014,1,4,2,5,,0.82,1013
171001,세레스,6014,1014,1,4,1,1,,0.58,1014
171001,세레스 조각 1개,6281,1820015,1,4,2,1,,4.43,1014
171001,세레스 조각 2개,6281,1820015,1,4,2,2,,2.92,1014
171001,세레스 조각 3개,6281,1820015,1,4,2,3,,1.75,1014
171001,세레스 조각 4개,6281,1820015,1,4,2,4,,1.17,1014
171001,세레스 조각 5개,6281,1820015,1,4,2,5,,0.82,1014
172002,솔라레이저,,6158,2,,3,,28001,4.17,2001
172002,다크레이저,,6159,2,,3,,28002,4.17,2002
172002,헬파이어건,,6160,2,,3,,28003,4.17,2003
172002,프로스트리피터,,6161,2,,3,,28004,4.17,2004
172002,버스트 블래스터,,6162,2,,3,,28005,4.17,2005
172002,쉐도우 버스터,,6163,2,,3,,28006,4.17,2006
172002,볼케이노 런처,,6164,2,,3,,28007,4.17,2007
172002,아이스레인저,,6165,2,,3,,28008,4.17,2008
172002,루미나 스나이퍼,,6166,2,,3,,28009,4.17,2009
172002,스틸 리퍼,,6167,2,,3,,28010,4.17,2010
172002,마그마 봄버,,6168,2,,3,,28011,4.17,2011
172002,프로스트 봄버,,6169,2,,3,,28012,4.17,2012
172002,아이언 마인,,6170,2,,3,,28013,4.17,2013
172002,블랙마인,,6171,2,,3,,28014,4.17,2014
172002,서지리엑터,,6172,2,,3,,28015,4.17,2015
172002,쉐도우 서지,,6173,2,,3,,28016,4.17,2016
172002,그래비티 필드,,23001,2,,3,,28017,4.17,23001
172002,그래비티 싱크,,23002,2,,3,,28018,4.17,23002
172002,딜레이 필드,,23003,2,,3,,28019,4.17,23003
172002,어비스 코어,,23004,2,,3,,28020,4.17,23004
172002,디펜스 드론,,23005,2,,3,,28021,4.17,23005
172002,리펄서,,23006,2,,3,,28022,4.17,23006
172002,쇼크 웨이브,,23007,2,,3,,28023,4.17,23007
172002,카오스 비컨,,23008,2,,3,,28024,4.17,23008
