ID,Path
2,"Assets/VarcoSounds/바르코 사운드/도감_가챠/9_타워는 배치 시 다른 타워에 버프를 줄 수 있는 기능이 있습니다. 버프 수치는 랜덤입니다.wav"
2,"Assets/VarcoSounds/바르코 사운드/도감_가챠/10_행성과 마찬가지로 부품을 모아 등급을 올릴 수 있습니다.wav"
2,"Assets/VarcoSounds/바르코 사운드/도감_가챠/11_타워 조각은 중복 타워를 뽑았을 때 랜덤 버프 수치가 보유 타워보다 낮다면 얻을 수 있습니다.wav"
2,"Assets/VarcoSounds/바르코 사운드/도감_가챠/12_방금 얻은 행성과 타워의 정보가 저장되었습니다.wav"
2,"Assets/VarcoSounds/바르코 사운드/도감_가챠/13_정보는 도감 탭에서 확인할 수 있습니다.wav"
2,"Assets/VarcoSounds/바르코 사운드/도감_가챠/14_도감에서는 행성과 타워 정보, 프리셋을 관리 할 수 있습니다.wav"
2,"Assets/VarcoSounds/바르코 사운드/도감_가챠/15_행성 탭의 행성 카드를 터치하면 해당 행성의 상세 정보페이지를 볼 수 있습니다.wav"
2,"Assets/VarcoSounds/바르코 사운드/도감_가챠/16_상세페이지에서는 행성의 정보 확인은 물론 행성의 레벨 업, 승급 진행을 할 수 있습니다.wav"
2,"Assets/VarcoSounds/바르코 사운드/도감_가챠/17_다음은 타워 정보를 확인하겠습니다.wav"
2,"Assets/VarcoSounds/바르코 사운드/도감_가챠/18_타워 탭을 터치하세요.wav"
2,"Assets/VarcoSounds/바르코 사운드/도감_가챠/19_타워 탭의 타워 카드를 터치하면 해당 타워의 상세 정보페이지를 볼 수 있습니다.wav"
2,"Assets/VarcoSounds/바르코 사운드/도감_가챠/20_타워 탭 또한 마찬가지로 타워의 정보, 승급을 상세페이지에서 관리할 수 있습니다.wav"
2,"Assets/VarcoSounds/바르코 사운드/도감_가챠/21_마지막으로 배치를 관리하는 프리셋 탭을 터치해보세요.wav"
2,"Assets/VarcoSounds/바르코 사운드/도감_가챠/22_이전에 본 프리셋 배치와 같은 기능을 가지고 있습니다.wav"
2,"Assets/VarcoSounds/바르코 사운드/도감_가챠/23_전투에 진입하지 않아도 이곳에서 배치를 전략을 짤 수 있습니다.wav"
3,"Assets/VarcoSounds/바르코 사운드/스테이지/1_테라포밍게이지가.wav"
3,"Assets/VarcoSounds/바르코 사운드/스테이지/2_한 번 선택.wav"
3,"Assets/VarcoSounds/바르코 사운드/스테이지/3_스테이지를 진행하면서 일정 웨이브마다 등장하는 엘리트 몬스터입니다.wav"
3,"Assets/VarcoSounds/바르코 사운드/스테이지/4_엘리트 몬스터는 일반 적들보다 공격력과 체력이 높은 대신 처치 시 타워 슬롯을 강화시킬 수 있습니다.wav"
3,"Assets/VarcoSounds/바르코 사운드/스테이지/5_플레이어가 엘리트 몬스터를 처치하면 타워 슬롯 강화 UI가 나옵니다.wav"
4,"Assets/VarcoSounds/바르코 사운드/프리셋/1_프리셋을 관리할 수 있는 프리셋 선택 화면입니다.wav"
4,"Assets/VarcoSounds/바르코 사운드/프리셋/2_편집 버튼을 눌러 프리셋을 편집하세요.wav"
4,"Assets/VarcoSounds/바르코 사운드/프리셋/3_이 곳에서는 현재 프리셋에 저장할 행성을 선택할 수 있습니다.wav"
4,"Assets/VarcoSounds/바르코 사운드/프리셋/4_아래에서 행성의 정보를 확인할 수 있고 선택 완료를 터치하면 타워 배치 화면으로 넘어갑니다.wav"
4,"Assets/VarcoSounds/바르코 사운드/프리셋/5_선택된 슬롯은 크기가 커진 하이라이트.wav"
4,"Assets/VarcoSounds/바르코 사운드/프리셋/6_타워를 배치할 수 있는 총 12개의 슬롯입니다.wav"
4,"Assets/VarcoSounds/바르코 사운드/프리셋/7_현재 선택 위치를 명확히 보여줍니다.wav"
4,"Assets/VarcoSounds/바르코 사운드/프리셋/8_잠겨 있는 슬롯은 비활성화 된 슬롯입니다.wav"
4,"Assets/VarcoSounds/바르코 사운드/프리셋/9_행성 승급을 통해 슬롯을 해금할 수 있습니다.wav"
4,"Assets/VarcoSounds/바르코 사운드/프리셋/10_슬롯에 타워를 배치한 경우 보유 타워 목록 타워에 배치된 슬롯의 번호가 표시됩니다.wav"
4,"Assets/VarcoSounds/바르코 사운드/프리셋/11_또한 배치된 타워가 주는 배치 버프는.wav"
4,"Assets/VarcoSounds/바르코 사운드/프리셋/보유 타워 목록 중 하나를 꾹 누르면.wav"
